id_municipio,f0_,f1_
4207205,8357400.0,3193
4207304,34138200.0,13869
4207403,3275400.0,1436
4207502,27817800.0,11603
4207601,2161800.0,947
4207650,2920800.0,1303
4207684,6319200.0,2010
4207700,2481600.0,1120
4207809,4935000.0,2057
4207858,1029600.0,463
4207908,7710000.0,3279
4208005,2940000.0,1271
4208104,12663000.0,5457
4208203,143579400.0,52139
4208302,46732800.0,19023
4208401,4242600.0,1969
4208450,19239000.0,7953
4208500,10857600.0,4797
4208609,1936200.0,847
4208708,6219000.0,2523
4208807,12414600.0,5291
4208906,75088200.0,28798
4209003,11038200.0,4668
4209102,294369600.0,84318
4209151,3311400.0,1345
4209177,1522200.0,663
4209300,110484600.0,35841
4209409,27696600.0,11496
4209458,687600.0,289
4209508,3444000.0,1514
4209607,6961800.0,2752
4209706,9032400.0,3311
4209805,2029800.0,873
4209854,1758000.0,809
4209904,5341800.0,2311
4210001,5774400.0,2498
4210035,2082600.0,941
4210100,30006000.0,12225
4210209,2056800.0,819
4210308,6153000.0,2596
4210407,4119000.0,1681
4210506,10548000.0,4563
4210555,1032600.0,449
4210605,7218600.0,3132
4210704,2233800.0,874
4210803,3855000.0,1598
4210852,1140600.0,516
4210902,1476600.0,644
4211009,3249000.0,1408
4211058,6399000.0,2350
4211108,7159200.0,2641
4211207,9737400.0,4092
4211256,1812000.0,768
4211306,57146400.0,22113
4211405,2118600.0,933
4211454,2352600.0,1008
4211504,5427600.0,2397
4211603,5777400.0,2510
4211652,1189200.0,546
4211702,10248000.0,4195
4211751,9297000.0,3656
4211850,1528200.0,593
4211892,1752000.0,687
4211900,129501000.0,46476
4212007,4006800.0,1612
4212056,1395600.0,573
4212106,7078200.0,2974
4212205,13501200.0,5535
4212239,1926000.0,785
4212254,7920000.0,3148
4212270,2713800.0,1019
4212304,5116200.0,2094
4212403,1629600.0,771
4212502,23263800.0,9779
4212601,883200.0,411
4212650,5592000.0,2088
4212700,2277600.0,1034
4212908,7545000.0,3269
4213005,1219800.0,509
4213104,2575800.0,1107
4213153,1508400.0,636
4213203,9544800.0,4288
4213302,3331800.0,1283
4213351,2151000.0,819
4213401,6987000.0,2605
4213500,16875000.0,7278
4213609,19089000.0,7721
4213708,7936200.0,3436
4213807,6019800.0,2341
4213906,630000.0,292
4214003,6038400.0,2745
4214102,1150800.0,521
4214151,1392600.0,639
4214201,4570800.0,1917
4214300,1635600.0,762
4214409,2992800.0,1235
4214508,3477600.0,1651
4214607,3365400.0,1605
4214805,30708600.0,12648
4214706,3775800.0,1704
4214904,1141800.0,540
4215000,19896000.0,8238
4215059,1895400.0,731
4215075,2215800.0,918
4215109,4692000.0,2106
4215208,2442600.0,1019
4215307,3292800.0,1492
4215356,2290800.0,954
4215406,1447800.0,622
4215455,6202800.0,2579
4215505,11805000.0,4085
4215554,904200.0,416
4215604,800400.0,362
4215653,6169800.0,2576
4215679,5262600.0,2559
4215687,1768200.0,741
4215695,781200.0,361
4215703,14925000.0,6378
4215802,33516000.0,13707
4215752,1414200.0,587
4215901,1611000.0,719
4216008,4470600.0,1970
4216057,3441000.0,1230
4216107,5689800.0,2325
4216206,34810200.0,13913
4216305,18398400.0,7862
4216354,2187600.0,937
4216255,1233000.0,580
4216404,5832600.0,2504
4216503,14906400.0,6113
4216602,141924600.0,51583
4216701,6716400.0,2793
4216800,6732600.0,2615
4216909,11224800.0,4733
4217006,4846800.0,2111
4217105,1473000.0,683
4217154,853800.0,363
4217204,16393200.0,6906
4217253,1830600.0,818
4217303,2622600.0,1250
4217402,7593600.0,3251
4217501,5836800.0,2570
4217550,1180200.0,546
4217600,6241800.0,2687
4217709,21012600.0,8414
4217758,1451400.0,606
4217808,7832400.0,3451
4217907,3373800.0,1394
4217956,1156800.0,506
4218004,26170800.0,10505
4218103,3261600.0,1320
4218202,15098400.0,6749
4218251,6523800.0,2153
4218301,12654000.0,4652
4218350,1394400.0,614
4218400,3480600.0,1643
4218509,3064800.0,1315
4218608,3033600.0,1278
4218707,52671600.0,21062
4218756,1361400.0,631
4218806,6228000.0,2779
4218855,1396800.0,616
4218905,6688800.0,2667
4218954,2306400.0,837
4219002,8326200.0,3674
4219150,1738800.0,729
4219176,2472000.0,947
4219200,3038400.0,1333
4219309,20886000.0,8589
4219358,3014400.0,1266
4219507,23650200.0,9570
4219606,1459800.0,715
4219705,13205400.0,5386
4219853,1711800.0,690
5100102,7194000.0,2430
5100201,18760200.0,7373
5100250,43084800.0,16406
5100300,13523400.0,4938
5100359,5891400.0,1990
5100409,10195800.0,3395
5100508,7590000.0,2545
5100607,7101000.0,2631
5100805,7291800.0,2934
5101001,3363000.0,1233
5101258,13165800.0,4830
5101308,8430600.0,3158
5101407,19495800.0,7295
5101605,8023800.0,2679
5101704,28417200.0,10037
5101803,65475000.0,22166
5101852,7945800.0,2710
5101902,12419400.0,4731
5102504,92353800.0,28277
5102603,12219000.0,3959
5102637,25032600.0,9637
5102678,30945600.0,12088
5102686,6001200.0,2070
5102694,4696200.0,1783
5102702,17521800.0,6552
5102793,8801400.0,3315
5102850,6577800.0,2626
5103007,18885600.0,6492
5103056,8449800.0,3393
5103106,5017200.0,1906
5103205,23081400.0,8937
5103254,28390200.0,10788
5103304,16512600.0,6200
5103353,33672600.0,12052
5103361,2786400.0,1049
5103379,9705000.0,3941
5103403,518078400.0,106226
5103437,5074800.0,1887
5103452,6160200.0,2127
5103502,16479600.0,6069
5103601,7789800.0,2501
5103700,9277800.0,3236
5103809,2709600.0,1081
5103858,6250200.0,2170
5103908,4716600.0,1521
5103957,2845200.0,962
5104104,29082000.0,10445
5104203,9830400.0,3316
5104500,1996800.0,818
5104526,4757400.0,1760
5104542,5697000.0,2223
5104559,4321200.0,1582
5104609,8997000.0,3151
5104807,22788600.0,8199
5104906,8530200.0,2783
5105002,8239800.0,3240
5105101,27037800.0,10372
5105150,36319800.0,13910
5105176,7794600.0,3047
5105200,9231000.0,3375
5105234,5031000.0,1669
5105259,52085400.0,19408
5105309,2638200.0,925
5105580,11316000.0,4061
5105606,14189400.0,5654
5105622,24954600.0,8688
5105903,16168200.0,5485
5106000,5809200.0,2094
5106109,11925600.0,4109
5106158,12270000.0,4576
5106208,4329000.0,1625
5106216,9780600.0,3933
5108808,4138200.0,1635
5106182,5742600.0,2040
5108857,2269800.0,846
5108907,3868800.0,1446
5108956,6352200.0,2467
5106224,33746400.0,12773
5106174,4140000.0,1284
5106232,14184600.0,4955
5106190,3261000.0,1307
5106240,7913400.0,3188
5106257,18411600.0,7195
5106273,2866800.0,1124
5106265,6909000.0,2663
5106315,2632800.0,886
5106281,6419400.0,2170
5106299,10042200.0,3888
5106307,17478000.0,6564
5106372,14804400.0,5226
5106422,34068000.0,11777
5106455,3178200.0,1073
5106505,38589600.0,11196
5106653,6429000.0,2257
5106703,1893600.0,684
5106752,41410200.0,15151
5106778,10439400.0,3642
5106802,3427800.0,1412
5106828,9594600.0,3673
5106851,3033000.0,1141
5107008,16788000.0,5334
5107040,57898200.0,20955
5107065,16933800.0,6132
5107156,2298000.0,825
5107180,11088000.0,3823
5107198,2112600.0,788
5107206,4329000.0,1555
5107578,2571000.0,941
5107602,201772800.0,58824
5107701,18744000.0,5980
5107750,2859000.0,1159
5107248,3791400.0,1375
5107743,1872600.0,705
5107776,6993000.0,2315
5107263,2907000.0,963
5107792,2801400.0,870
5107800,18078000.0,6070
5107859,8898600.0,3334
5107305,13950600.0,4818
5107354,5634000.0,1936
5107107,14644200.0,5565
5107404,3688200.0,1263
5107875,16551000.0,6306
5107883,2146200.0,795
5107909,127835400.0,44830
5107925,66921000.0,25226
5107941,7712400.0,3003
5107958,70815600.0,25883
5108006,8986800.0,3443
5108055,8811000.0,3456
5108105,2423400.0,837
5108204,3497400.0,1370
5108303,4202400.0,1438
5108352,2505600.0,952
5108402,266130000.0,67548
5108501,8128800.0,3076
5105507,12465600.0,4346
5108600,16793400.0,6622
3200102,29699400.0,11104
