ano,sigla_uf,vagas,id_municipio_tse
2000,CE,21,15296
2000,CE,11,15318
2000,CE,15,15334
2000,CE,11,15350
2000,CE,19,15377
2000,CE,15,15393
2000,CE,9,15440
2000,CE,19,15458
2000,CE,15,15415
2000,CE,11,15431
2000,CE,17,15474
2000,CE,17,15490
2000,CE,11,15512
2000,CE,11,15539
2000,CE,9,13447
2000,CE,17,15555
2000,CE,9,15571
2000,CE,21,15598
2000,CE,11,15610
2000,CE,15,15636
2000,CE,15,15652
2000,CE,9,13366
2000,CE,21,15679
2000,CE,9,13323
2000,CE,19,15695
2000,CE,15,15717
2000,CE,11,13080
2000,CE,15,15733
2000,CE,9,15750
2000,CE,11,98558
2000,CE,15,15776
2000,CE,9,15792
2000,CE,11,98574
2000,CE,17,15814
2000,CE,17,15830
2000,MG,9,40010
2000,MG,13,40037
2000,MG,11,40053
2000,MG,9,40070
2000,MG,13,40096
2000,MG,11,40118
2000,MG,9,40134
2000,MG,9,40150
2000,MG,11,40177
2000,MG,11,40193
2000,MG,15,40215
2000,MG,9,40231
2000,MG,9,40258
2000,MG,9,40274
2000,MG,15,40290
2000,MG,15,40312
2000,MG,9,40002
2000,MG,15,40339
2000,MG,11,40355
2000,MG,11,40371
2000,MG,11,40398
2000,MG,9,41661
2000,MG,9,50695
2000,MG,13,40410
2000,MG,9,40436
2000,MG,11,40452
2000,MG,11,40479
2000,MG,11,40495
2000,MG,13,40517
2000,MG,11,40550
2000,MG,9,41688
2000,MG,11,40576
2000,MG,11,40592
2000,MG,9,40614
2000,MG,9,40630
2000,MG,9,40657
2000,MG,15,40673
2000,MG,17,40690
2000,MG,9,40711
2000,MG,9,40738
2000,MG,9,40029
2000,MG,9,40754
2000,MG,9,40770
2000,MG,15,40797
2000,MG,9,40819
2000,MG,15,40835
2000,MG,11,40851
2000,MG,9,40878
2000,MG,9,41700
2000,MG,11,40894
2000,MG,11,40916
2000,MG,11,40932
2000,MG,11,40959
2000,MG,11,40975
2000,MG,9,40991
2000,MG,13,41017
2000,MG,9,41033
2000,MG,9,41050
2000,MG,15,41076
2000,MG,9,41092
2000,MG,19,41114
2000,MG,9,41130
2000,MG,13,41173
2000,MG,11,41190
2000,MG,9,41211
2000,MG,37,41238
2000,MG,11,41254
2000,MG,9,41270
2000,MG,11,41297
2000,MG,9,41726
2000,MG,9,41319
2000,MG,21,41335
2000,MG,9,41351
2000,MG,11,41378
2000,MG,9,41394
2000,MG,15,41416
2000,MG,9,41432
2000,MG,15,41459
2000,MG,15,41475
2000,MG,9,41491
2000,MG,9,41513
2000,MG,9,41530
2000,MG,13,41556
2000,MG,9,41572
2000,MG,11,41599
2000,MG,9,41610
2000,MG,11,41637
2000,MG,9,41742
2000,MG,11,41653
2000,MG,11,41670
2000,MG,9,41696
2000,MG,9,41734
2000,MG,9,40045
2000,MG,15,41718
2000,MG,9,41750
2000,MG,11,41777
2000,MG,15,41793
2000,MG,11,41815
2000,MG,11,41831
2000,MG,9,41769
2000,MG,11,41858
2000,MG,13,41874
2000,MG,9,41785
2000,MG,11,41890
2000,MG,9,41912
2000,MG,11,41939
2000,MG,9,40533
2000,MG,9,41955
2000,MG,9,41971
2000,MG,15,41998
2000,MG,9,42013
2000,MG,9,42030
2000,MG,11,42056
2000,MG,9,42072
2000,MG,11,42099
2000,MG,9,42110
2000,MG,11,42137
2000,MG,11,42153
2000,MG,11,42170
2000,MG,13,42196
2000,MG,13,42218
2000,MG,9,41807
2000,MG,15,42234
2000,MG,11,42250
