CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
1304203,1 - Norte,13,Amazonas,Tefé,59849,5 - 50001 até 100000
1304237,1 - Norte,13,Amazonas,Tonantins,18755,3 - 10001 até 20000
1304260,1 - Norte,13,Amazonas,Uarini,13540,3 - 10001 até 20000
1304302,1 - Norte,13,Amazonas,Urucará,16256,3 - 10001 até 20000
1304401,1 - Norte,13,Amazonas,Urucurituba,23065,4 - 20001 até 50000
1400027,1 - Norte,14,Roraima,Amajari,12796,3 - 10001 até 20000
1400050,1 - Norte,14,Roraima,Alto Alegre,15510,3 - 10001 até 20000
1400100,1 - Norte,14,Roraima,Boa Vista,399213,6 - 100001 até 500000
1400159,1 - Norte,14,Roraima,Bonfim,12409,3 - 10001 até 20000
1400175,1 - Norte,14,Roraima,Cantá,18335,3 - 10001 até 20000
1400209,1 - Norte,14,Roraima,Caracaraí,21926,4 - 20001 até 50000
1400233,1 - Norte,14,Roraima,Caroebe,10169,3 - 10001 até 20000
1400282,1 - Norte,14,Roraima,Iracema,11950,3 - 10001 até 20000
1400308,1 - Norte,14,Roraima,Mucajaí,17853,3 - 10001 até 20000
1400407,1 - Norte,14,Roraima,Normandia,11290,3 - 10001 até 20000
1400456,1 - Norte,14,Roraima,Pacaraima,17401,3 - 10001 até 20000
1400472,1 - Norte,14,Roraima,Rorainópolis,30163,4 - 20001 até 50000
1400506,1 - Norte,14,Roraima,São João da Baliza,8201,2 - 5001 até 10000
1400605,1 - Norte,14,Roraima,São Luiz,7986,2 - 5001 até 10000
1400704,1 - Norte,14,Roraima,Uiramutã,10559,3 - 10001 até 20000
1500107,1 - Norte,15,Pará,Abaetetuba,157698,6 - 100001 até 500000
1500131,1 - Norte,15,Pará,Abel Figueiredo,7434,2 - 5001 até 10000
1500206,1 - Norte,15,Pará,Acará,55591,5 - 50001 até 100000
1500305,1 - Norte,15,Pará,Afuá,39218,4 - 20001 até 50000
1500347,1 - Norte,15,Pará,Água Azul do Norte,27430,4 - 20001 até 50000
1500404,1 - Norte,15,Pará,Alenquer,56789,5 - 50001 até 100000
1500503,1 - Norte,15,Pará,Almeirim,34109,4 - 20001 até 50000
1500602,1 - Norte,15,Pará,Altamira,114594,6 - 100001 até 500000
1500701,1 - Norte,15,Pará,Anajás,29277,4 - 20001 até 50000
1500800,1 - Norte,15,Pará,Ananindeua,530598,7 - Maior que 500000
1500859,1 - Norte,15,Pará,Anapu,27890,4 - 20001 até 50000
1500909,1 - Norte,15,Pará,Augusto Corrêa,45998,4 - 20001 até 50000
1500958,1 - Norte,15,Pará,Aurora do Pará,31338,4 - 20001 até 50000
1501006,1 - Norte,15,Pará,Aveiro,16388,3 - 10001 até 20000
1501105,1 - Norte,15,Pará,Bagre,30673,4 - 20001 até 50000
1501204,1 - Norte,15,Pará,Baião,47446,4 - 20001 até 50000
1501253,1 - Norte,15,Pará,Bannach,3286,1 - Até 5000
1501303,1 - Norte,15,Pará,Barcarena,124680,6 - 100001 até 500000
1501402,1 - Norte,15,Pará,Belém,1492745,7 - Maior que 500000
1501451,1 - Norte,15,Pará,Belterra,17732,3 - 10001 até 20000
1501501,1 - Norte,15,Pará,Benevides,62737,5 - 50001 até 100000
1501576,1 - Norte,15,Pará,Bom Jesus do Tocantins,16981,3 - 10001 até 20000
1501600,1 - Norte,15,Pará,Bonito,16286,3 - 10001 até 20000
1501709,1 - Norte,15,Pará,Bragança,127686,6 - 100001 até 500000
